timestamp,slice,throughput,latency,jitter,packetLoss
2025-02-21 11:10:48.130,1,917800.0,8.085736,2.101,0.012658228
2025-02-21 11:10:48.130,2,968640.0,7.8283033,2.139,0.012738854
2025-02-21 11:10:49.234,1,911984.0,7.7720504,2.357,0.012738854
2025-02-21 11:10:49.234,2,991960.0,7.9607663,1.715,0.012658228
2025-02-21 11:10:50.323,1,894728.0,8.149323,2.201,0.012738854
2025-02-21 11:10:50.323,2,963736.0,8.186358,2.044,0.012820513
2025-02-21 11:10:51.413,1,911440.0,7.63422,2.347,0.012903226
2025-02-21 11:10:51.413,2,986088.0,7.7926226,1.813,0.012987013
2025-02-21 11:10:52.494,1,883504.0,7.6509223,1.991,0.012738854
2025-02-21 11:10:52.494,2,992016.0,7.834425,2.168,0.012820513
2025-02-21 11:10:53.581,1,903488.0,7.9653363,2.319,0.013157895
2025-02-21 11:10:53.581,2,960368.0,8.125279,1.967,0.0125
2025-02-21 11:10:54.684,1,895240.0,8.087786,1.892,0.012820513
2025-02-21 11:10:54.684,2,989760.0,7.3806643,1.797,0.012987013
2025-02-21 11:10:55.766,1,912296.0,7.2752566,2.382,0.012820513
2025-02-21 11:10:55.766,2,963296.0,7.8773613,1.631,0.012903226
2025-02-21 11:10:56.848,1,920456.0,8.198327,2.076,0.012903226
2025-02-21 11:10:56.848,2,989944.0,7.8230658,1.49,0.013157895
2025-02-21 11:10:57.934,1,891936.0,7.941839694976807,2.559000015258789,0.012903225608170033
2025-02-21 11:10:57.934,2,991888.0,7.928068,2.076,0.012903226
2025-02-21 11:10:59.020,1,922080.0,7.922494,1.926,0.012903226
2025-02-21 11:10:59.020,2,968352.0,7.826422,2.08,0.012820513
2025-02-21 11:11:00.103,1,910712.0,7.985114097595215,2.0360000133514404,0.012658228166401386
2025-02-21 11:11:00.103,2,987320.0,8.029278,2.098,0.012658228
2025-02-21 11:11:01.180,1,890328.0,7.561773,2.065,0.0125
2025-02-21 11:11:01.180,2,989696.0,8.113487,2.076,0.012820513
2025-02-21 11:11:02.289,1,911336.0,8.036484,2.439,0.013333334
2025-02-21 11:11:02.289,2,981896.0,7.625580787658691,1.9290000200271606,0.012578615918755531
2025-02-21 11:11:03.373,1,921128.0,7.564314365386963,2.318000078201294,0.012903225608170033
2025-02-21 11:11:03.373,2,993360.0,8.196610450744629,1.9129999876022339,0.012738853693008423
2025-02-21 11:11:04.457,1,902080.0,7.617684841156006,1.906999945640564,0.012903225608170033
